    460 する	 を
      1 する	 か は の に
      1 する	 か の
      1 する	 か ね と も を
      1 する	 か ね と が
      1 する	 か な と て
      1 する	 か とも
      1 する	 か と も を
      1 する	 か と も
      1 する	 か と が を
      1 する	 か と が
      1 する	 か で も
      1 する	 か て を
      1 する	 か て も に は を
      1 する	 か て て
      1 する	 か って は に を
      1 する	 か って て
      1 する	 か が
