Char	Freq
carvey	10
paper	14
bag	14
wear	38
head	60
public	18
avoid	28
recogn	11
man	194
bilk	1
unsuspect	2
moviego	26
banal	18
virul	2
unpleas	16
excus	15
romant	116
comedi	414
depth	41
lack	146
evid	12
answer	20
clear	36
easili	43
end	243
well	339
enough	268
hayn	10
homag	14
heaven	23
allow	40
imit	14
transcend	22
simpli	72
put	93
far	141
masterpiec	28
affection	6
loopi	4
seem	241
congenit	1
demm	6
perspect	19
tough	21
time	504
emerg	35
badli	25
date	32
cutesi	6
pie	9
mysteri	57
scenario	17
newfangl	3
holli	64
wood	67
post-product	3
effect	136
biggest	13
problem	78
satin	4
roug	6
lilia	4
cipher	4
play	188
actress	39
smile	22
frown	2
reveal	49
inner	12
celebr	30
quirki	56
eccentr	23
certain	28
individu	15
tendenc	5
let	58
hang	11
damn	20
consequ	10
kid	115
audienc	199
preview	2
bore	85
cheer	15
pratfal	6
els	56
parent	41
read	48
princess	3
sorvino	6
glide	4
grace	36
male	18
persona	16
femal	29
miss	74
beat	29
ben	8
kingsley	3
truli	48
kind	151
ghandi	1
bad	251
boy	68
franchis	22
ever	151
ga	2
photo	8
intrigu	66
snapshot	7
delus	4
flash	17
insight	69
suffic	3
see	379
imax	21
form	44
acquaint	2
tiniest	2
detail	48
hank	6
face	85
wife	23
lousi	12
unbeliev	9
lead	72
away	67
hole	24
somewhat	31
predict	93
plot	214
caus	18
jump	11
chair	3
anim	102
mere	43
serv	48
maudlin	15
swipe	4
heavili	7
bambi	1
lion	5
king	18
emot	167
reson	35
either	26
humorless	9
journey	42
philosoph	18
void	4
element	48
pyscholog	1
center	25
knock	6
flat	42
high	99
crime	60
gener	129
univers	23
product	67
code	8
instead	71
titl	82
get	318
settl	17
divin	12
secret	26
ya	15
sisterhood	9
suffer	51
ploddingli	2
melodramat	26
structur	26
come	294
guard	5
resent	5
betti	5
manipul	24
needi	2
margot	1
front	14
interest	203
respons	17
stroke	8
ram	7
dass	5
fierc	16
worth	104
seek	25
unorthodox	2
noir	14
organ	8
includ	30
strangest	1
fetch	4
premis	65
convolut	11
themat	14
mumbo	3
jumbo	4
destini	4
redempt	8
noyc	8
contempl	10
mourn	6
reflect	24
eerili	3
accur	12
depict	25
depress	35
ridicul	25
cours	25
also	153
refresh	27
disarm	4
outright	4
enjoy	160
event	46
weird	31
honestli	11
know	153
hell	28
next	54
tediou	33
imposs	48
care	104
boast	14
true	80
difficult	42
overal	37
bland	38
american	135
chai	4
likabl	17
refreshingli	20
naiv	3
point	126
scene	145
joke	80
setup	7
deliveri	15
payoff	8
steal	23
harvard	14
even	392
immedi	9
succumb	12
graviti	6
plummet	2
earth	15
chang	55
paranoia	6
shape	16
represent	2
castro	7
stay	39
remind	37
like	163
helluva	2
didact	7
dull	85
documentari	135
glorifi	6
softwar	2
anarchi	2
touch	92
etoil	1
part	109
dour	2
joy	22
least	88
fascin	93
subject	105
pictur	164
promis	52
rather	119
preciou	15
undercut	8
amateurish	14
execut	46
fill	60
subtext	5
valu	35
recommend	34
look	308
differ	59
materi	98
slight	26
admittedli	5
jacquot	9
preserv	4
tosca	7
intox	11
ardor	1
camera	50
captiv	20
cross-cultur	3
manner	37
anoth	152
genr	77
origin	136
remak	34
aggress	12
glorif	2
whitewash	1
credit	41
devast	13
imperson	7
dustin	2
hoffman	18
revelatori	11
ooz	5
condescens	3
pore	3
robin	10
william	32
death	52
smoochi	8
alreadi	44
reach	29
expir	2
laser	3
project	54
paint	27
spell	13
cast	183
beauti	140
russel	6
dreyfu	1
pair	13
precious	4
expos	11
histori	73
horrid	2
propaganda	8
connect	32
serb	1
network	4
right	112
wing	4
extremist	2
tongu	11
keep	135
dialog	3
oh	13
conveni	8
twist	62
european	9
cinema	89
amass	1
vast	6
holocaust	12
literatur	2
think	182
challeng	33
grey	8
zone	15
power	141
tale	143
forc	75
tell	119
superb	11
throughout	10
weight	17
water	40
subconsci	3
desir	23
leaki	3
bare	44
afloat	7
alway	73
watch	227
marker	3
essayist	1
spirit	75
imagin	103
medium	9
child	86
mind	89
enter	13
accept	19
choppi	11
edit	38
annoy	19
score	36
special	89
replac	10
object	20
hand	80
besott	2
misbegotten	1
tv	54
skit	1
com	5
fervent	4
deposit	2
big	172
byler	6
savvi	10
morph	4
typic	25
triangl	9
focu	42
anguish	7
develop	44
mull	4
leav	150
familiar	74
travers	1
unchart	2
ground	23
gun	20
battl	24
throwaway	5
humor	166
cover	18
yawn	7
chasm	2
ethan	3
hawk	11
fanci	20
bastard	3
beatnik	1
chelsea	9
wall	19
etern	3
devot	10
insan	15
black	57
intermitt	12
free	29
popcorn	21
whenev	9
onscreen	11
give	243
shout	7
lot	141
peopl	177
wast	45
inconsequenti	9
fast	32
pace	81
argentinian	1
thriller	147
shadow	15
side	59
aimless	7
old	180
pickup	2
skidd	1
complet	78
control	21
patch	7
ice	23
number	50
yarn	18
intens	36
less	143
charm	140
hurt	8
devolv	4
deriv	31
lean	8
render	16
cgi	9
red	23
dragon	21
worthi	34
place	94
hannib	7
ye	27
friend	28
dinner	5
last	91
bitter	12
truth	49
mo	62
koshashvili	1
formula	70
new	212
deliv	95
trip	27
first	175
pretti	83
job	38
want	148
stage	35
version	62
howev	30
cleaner	3
deeper	18
jason	18
manhattan	11
guess	12
space	26
station	5
year	241
cross	27
list	18
idea	118
inevit	12
futur	35
hey	15
messeng	2
highfalutin	1
corkscrew	1
narr	72
turn	137
shaggi	6
human	139
fundament	9
carri	33
spot	19
burr	4
duval	5
produc	50
peel	1
layer	14
exist	31
snoot	1
doubt	23
ralli	2
trot	5
threadbar	4
standbi	1
triumph	26
malarkey	1
ardent	4
viewer	88
gobbler	1
worri	11
drama	203
frida	13
spend	34
explor	48
process	35
pain	60
art	98
superior	15
claud	7
chabrol	9
gentli	8
sway	3
back	105
forth	7
cradl	1
veil	4
tension	31
otherwis	36
tender	20
movement	11
unlik	21
disturb	28
disgust	11
redeem	12
whatsoev	3
mild	16
chuckl	14
surround	21
overli	19
poorli	19
construct	36
heartbreakingli	3
thought	57
minor	28
classic	63
genuin	52
singular	4
artist	64
misguid	4
georg	25
roy	1
hill	18
sting	8
better	173
around	30
call	69
profession	18
loneli	7
chilli	10
anonym	3
environ	7
mani	183
emperor	6
club	10
ruthless	4
placid	2
find	184
conserv	7
hidebound	1
tradit	30
textur	5
relev	9
realiti	50
clever	82
caper	14
david	34
mamet	7
enorm	14
shallow	22
remain	58
agap	1
punch	29
inconsist	10
meander	20
sometim	85
dri	23
cut	55
add	52
mundan	7
soap	37
opera	53
caffein	2
sloppi	15
brillianc	7
sparkl	11
wish	28
energi	54
duti	10
disciplin	3
grade	12
grubber	1
shame	19
rymer	2
trust	9
conjur	9
proper	5
respect	33
follow	51
whole	80
dead	43
undead	3
deserv	52
pic	13
shrieki	1
none	40
flesh	8
build	44
château	4
benefit	17
sharper	2
mention	16
len	2
brilliant	38
hilari	49
deft	10
sens	154
game	56
steven	29
solid	59
witti	33
simplist	19
silli	84
plethora	2
engag	86
diatrib	2
mean	91
grand	18
member	22
variou	10
household	2
half	90
dozen	6
horror	73
truckzilla	1
cryin	2
loud	34
clue	7
horribl	18
wrong	38
churlish	1
begrudg	1
receiv	10
whatev	14
consol	5
dragonfli	7
appal	8
shamelessli	8
contriv	53
total	25
convict	21
direct	173
stylish	26
ultim	140
extrem	54
slick	16
nonsens	25
epic	39
show	151
creativ	44
creat	88
non-fan	1
figur	37
wilco	7
deal	48
de	63
torr	1
style	99
athlet	10
bang	14
brain	27
frequent	21
furious	3
capac	7
explain	8
natur	80
instinct	10
quietli	18
move	121
iranian	14
solondz	19
intent	44
hammer	4
messag	69
forget	42
definit	43
crowd	27
pleaser	7
roman	9
colosseum	1
appear	44
model	7
worst	60
reveng	19
nerd	3
dredg	1
arthrit	1
attempt	68
calli	1
khouri	3
god	21
aw	38
delight	65
revel	19
simplic	9
mostli	56
martha	13
grumbl	2
stomach	18
lacer	1
darkli	10
fabl	14
freaki	5
crew	7
wonder	102
ghost	22
aliv	21
sli	10
wink	4
becom	133
postmodern	4
creepi	40
sardin	1
warp	3
logic	16
hero	44
opportun	28
triumphantli	2
sermon	5
thing	241
okay	4
leguizamo	4
jone	20
excel	41
rest	29
uniformli	7
switch	8
gear	8
sentiment	68
howard	14
leon	6
barlow	2
hardli	25
act	215
grip	28
wors	32
kevin	17
spacey	2
tri	151
irish	10
accent	14
sultri	2
linda	1
fiorentino	1
expand	9
horizon	2
boredom	4
collaps	9
concept	45
escap	33
flashi	12
empti	27
sub-mus	1
video	88
possess	16
actual	81
period	35
name	40
modestli	4
profoundli	5
fall	67
neatli	5
categori	9
stupid	40
unhibit	1
enthusiasm	10
spite	11
clearli	20
poverti	5
hardship	1
bring	87
music	110
insomnia	9
pacino	8
dare	32
complic	29
televis	24
sport	32
thoughtlessli	1
assembl	12
bolster	3
astonish	12
voic	28
except	25
hewitt	5
racial	8
storylin	19
encount	16
pete	2
purportedli	2
studi	63
modern	61
alien	26
particularli	42
slant	1
gay	25
fantasi	40
enerv	3
deadeningli	2
draw	47
week	25
experi	100
understand	46
uniqu	29
present	58
appeal	69
climact	6
belov	5
major	35
nameless	1
invit	15
spontan	9
evil	22
hit	71
sure	69
hate	31
morn	8
moonlight	7
mile	17
judgment	3
dam	19
travesti	3
spoof	18
serious	30
rollick	4
ride	59
jaw	5
drop	16
sequenc	47
strike	40
villain	16
gorgeou	32
color	49
palett	2
astound	6
stir	20
boffo	1
strang	58
sinist	6
happi	35
heist	4
young	94
brooklyn	4
hood	4
shelf	10
popular	12
vin	3
diesel	8
seth	1
green	30
barri	19
pepper	5
begin	60
brightli	3
extend	13
exercis	54
retard	1
convent	26
talk	46
justic	17
win	60
tone	57
grant	30
lose	70
atlant	3
curiou	8
owner	2
architectur	5
odditi	3
due	4
portent	3
appropri	14
heavi	55
handed	3
sexi	22
ruin	10
goofi	25
situat	49
daringli	2
percept	11
taut	8
pierc	4
feisti	2
biggi	2
tupac	2
undeni	20
subvers	12
involv	57
bold	14
kaufman	16
fail	73
yet	43
quit	136
singer	6
recent	51
memori	44
shock	37
store	12
unwari	1
excruci	5
one	166
sit	58
dentist	2
drill	1
cheap	31
scam	4
cynic	25
creep	8
revolut	14
studio	22
sucker	6
surrend	5
unrecover	1
bennett	2
naturalist	7
speak	32
volum	6
drastic	2
bodi	26
yakusho	2
sad	56
sack	3
chemistri	27
shimizu	2
believ	93
disreput	2
exquisit	17
trap	27
dampen	3
lacklust	9
substandard	3
hunger	1
cat	13
tasti	12
vincent	11
gallo	3
lift	13
cannib	3
lust	5
ordinari	13
merchant	7
sausag	1
top	42
moviemak	19
slap	15
mood	39
odd	36
fine	62
convinc	40
arni	3
musclefest	1
insultingli	4
hollywood	67
nosed	1
alfr	4
hitchcock	5
flight	3
shyamalan	13
import	52
fluff	10
dicey	2
unexpect	26
zig	1
zag	1
help	62
amiabl	8
commit	14
often	140
bullsey	1
appet	2
karmen	2
rhythm	24
lip	15
chant	1
braid	1
hair	15
wipe	1
jewel	1
bead	1
sweat	5
weightless	4
oscar	32
sound	51
jame	18
horner	1
rous	10
hefti	4
audio	1
system	8
whaley	1
determin	29
immers	6
sheer	15
unrel	4
wretched	1
exhaust	13
peralta	3
captur	57
lumin	2
interview	11
amazingli	8
evoc	14
decad	31
ago	27
essenc	8
dogtown	7
jumbl	7
ineptli	3
pabulum	1
commerci	20
nba	3
properti	3
disney	43
prayer	1
hunki	1
pursu	4
castl	2
sky	3
strong	59
ambiti	31
goal	11
fade	5
descend	4
unsophist	2
scare	13
tactic	4
b-film	1
thuggeri	1
favorit	8
pet	2
buri	8
bruckheim	6
schumach	3
probabl	64
hopkin	13
rock	42
collis	6
authent	23
famili	136
porcelain	1
empir	8
hard	139
compet	17
hitman	1
pulp	7
fiction	31
shorti	1
sardon	6
verv	9
caustic	3
purpos	25
cleti	6
tout	9
inexpress	2
drab	8
wannab	12
exact	4
nich	7
pat	12
increasingli	14
divers	22
french	53
describ	19
shot	46
postcard	5
overact	1
boozi	2
indulg	34
actor	158
enthral	9
featur	101
drum	6
fresh	62
energet	21
spunk	2
infecti	8
fiendishli	1
cun	2
jad	4
auditorium	2
dizzi	5
confus	29
disorient	1
adventur	64
base	39
robert	33
loui	4
stevenson	8
treasur	22
island	10
fire	43
plasma	1
conduit	1
chateau	7
decent	31
mildli	25
insignific	3
fabric	7
complex	59
deepen	1
necessarili	10
equat	5
admir	41
break	44
stale	19
retread	14
footag	20
impact	29
travelogu	3
blade	20
start	83
wild	47
hoot	8
suck	21
blood	27
vein	10
cring	4
workout	3
fester	1
dungpil	1
swear	4
monkey	3
fling	2
fece	3
op	7
exceed	4
expect	79
cinematographi	17
carl	3
franklin	4
crisp	9
econom	11
jeong	4
hyang	3
lee	17
decept	15
simpl	46
deepli	48
satisfi	64
toler	9
insipid	5
clueless	5
larg	48
dose	14
painkil	1
astring	2
untidi	1
condescend	5
stun	23
gimmick	7
search	25
costum	24
possibl	65
mechan	15
nrelentingli	1
budget	37
notwithstand	5
blip	3
radar	5
tempt	7
mib	4
label	6
stand	60
milder	1
dramat	74
descent	2
post	10
breakup	1
perdit	5
morbid	4
shake	24
length	29
rerat	2
road	35
mama	3
theme	45
earnest	47
india	2
gulzar	1
jagjit	1
singh	1
cheek	11
coo	1
beseechingli	1
slow	55
breezi	11
distract	13
thin	42
quiet	33
depart	9
friendli	9
demeanor	2
exchang	4
darker	7
unnerv	10
dens	9
highli	30
referenti	4
audaci	8
return	30
comfort	25
jean	9
luc	2
godard	14
finest	11
slapstick	20
throwback	6
bottom	15
bill	13
fare	21
chicken	3
deepa	1
mehta	4
access	21
introduct	5
intellig	103
observ	39
success	60
bollywood	6
western	10
lingual	1
full	132
wiggl	1
kitten	2
unhurri	4
strength	22
entir	68
unfold	20
lazi	21
afternoon	6
conclud	1
clariti	12
dawn	4
drag	38
intermin	4
miser	10
relationship	53
exceedingli	7
stomp	5
gue	9
spray	2
chees	9
underarm	1
nois	6
crucial	6
resembl	22
meet	23
happen	59
annoyingli	2
sentenc	6
pen	3
screenwrit	42
huge	29
shockwav	1
gratifi	2
suspect	15
overrun	4
corrupt	4
hedonist	5
weasel	1
motown	5
slightli	25
must	4
fat	20
greek	15
wed	26
stereotyp	22
blend	27
sweet	87
romanc	63
lovingli	6
dish	7
ideal	11
master	47
british	22
ian	4
holm	7
age	115
reign	15
warrior	6
owe	9
debt	3
previou	25
throw	37
train	11
calib	3
fan	101
disappoint	41
gadget	3
whirl	3
fight	33
cool	43
support	19
hold	61
equilibrium	6
tour	13
write	99
implos	1
explos	15
fear	38
piment	1
farrelli	6
brother	32
femin	3
poor	22
higher	7
level	71
cram	6
earplug	1
ear	11
pillowcas	1
orang	5
juic	3
squeez	8
juxtaposit	3
overwrought	15
existenti	10
churn	4
gore	9
forev	5
verg	6
crack	9
uner	2
emb	2
lurid	6
topic	17
prove	70
spectacular	20
word	50
orc	1
uruk	1
hai	1
samantha	1
unfinish	2
predecessor	28
eventu	26
culmin	2
not-exactli	1
psychoanalyt	1
provoc	31
literari	14
sophist	28
surpris	97
vibrant	15
glitzi	1
undercov	8
mass	6
sharp	32
smart	65
satir	49
lame	25
southern	12
unturn	3
wow	14
factor	10
sham	5
theori	9
sleight	2
ill	29
wring	4
hypothesi	1
zhang	10
amaz	25
realist	26
mainli	12
nonprofession	1
belong	15
marvel	26
verdu	1
slip	10
mother	24
tragedi	42
privat	11
embrac	17
cold	40
wet	8
seattl	2
drizzl	2
rainwear	1
raja	1
amari	3
notion	16
middl	50
woman	121
treatis	4
sensual	13
empower	8
goofbal	4
malkovich	6
limit	22
ralph	4
fienn	4
jennif	5
lopez	7
wimp	2
pg	4
rate	26
graphic	15
sexual	37
mute	8
exud	7
fizz	5
busbi	1
berkeley	1
viscer	15
excit	55
extravaganza	7
articul	8
player	14
skateboard	6
toni	6
bmx	2
rider	2
mat	1
turk	1
angl	8
radic	5
sci	34
fi	35
compani	24
track	8
snoozer	2
festoon	1
hous	37
fact	54
english	14
subtitl	8
magic	37
signific	15
frankli	8
dear	4
ell	10
portray	34
fastidi	1
christian	15
ellefsen	1
frailti	12
magnifi	2
vex	2
sword	4
auteuil	4
pleasur	69
singl	39
backseat	1
judd	7
pick	17
durabl	4
seller	4
foolish	4
choic	21
advic	8
goyer	3
loos	20
unaccount	1
technic	21
piercingli	1
affect	47
cloy	13
inert	4
spellbind	4
african	9
condit	18
rootless	1
state	22
million	5
globe	4
em>ash	1
wednesday	3
em	10
edward	3
mark	45
writer	89
today	21
drain	7
sober	14
educ	16
devoid	18
realism	15
whistl	2
bell	1
obnoxi	11
stiff	12
ounc	2
honesti	12
sophomor	11
sort	57
cinemat	86
militari	5
courtroom	5
low	74
hyster	2
disquisit	1
liter	25
toilet	7
need	126
queen	25
final	84
coupl	33
anti-human	1
graceland	1
convers	15
goodwil	4
close	64
rel	21
overload	2
angst	18
irrepar	2
affluent	2
slacker	7
grat	8
result	51
iron	16
dispos	9
kitchen	3
sink	19
illustr	9
sum	19
finess	3
heidi	2
vietnam	5
citi	31
mai	1
kim	4
irwin	10
showcas	16
honest	41
commun	31
strive	2
anchor	11
terribl	33
regard	14
utterli	29
contemporari	28
chines	16
outsid	6
artistri	4
smack	10
uneven	24
spotti	1
tooth	10
confirm	9
descript	5
unelect	1
bush	2
incuri	1
uncharismat	2
overgrown	1
frat	6
streak	4
wide	15
vat	2
twitchi	2
boorish	3
overproduc	4
dreck	6
shockingli	5
hmmm	1
suggest	28
wayward	2
wooden	8
stuff	55
electr	4
pencil	2
sharpen	2
portrait	57
neurosi	1
nervi	6
neg	3
treat	37
digit	22
retool	4
idiosyncrat	6
light	76
photograph	17
colour	3
musti	5
scent	2
todd	8
farmer	1
screenplay	69
plucki	2
heroin	10
monster	38
spaceship	2
outcom	6
seesaw	3
fate	12
argument	8
lawyer	2
knot	5
legal	9
testimoni	7
wit	73
lend	13
underton	4
mid-rang	1
seagal	17
jet	3
li	2
rollerblad	1
memor	39
downtown	3
saturday	11
matine	11
candi	12
trivial	7
crisi	9
reduc	17
embarrass	19
concern	26
polit	70
issu	41
dote	2
crazi	26
encourag	11
la	5
sall	2
german	7
industri	18
food	15
lace	3
seriou	54
legend	5
path	13
though	25
warner	4
bro	4
giant	19
chuck	3
die	32
releas	33
kinnear	7
career	35
defin	14
select	6
valuabl	7
capsul	1
re-fri	1
tomato	1
stubborn	1
charismat	10
episod	37
eye	90
recycl	17
assassin	12
greatest	19
hong	11
kong	11
kick	20
pastri	2
wreck	7
thrust	5
inchoat	1
eldritch	1
machin	20
nation	25
media	7
circl	6
ensnar	3
target	28
extraordinarili	5
surf	9
photographi	11
massiv	3
wave	16
usual	51
syrup	3
pancak	1
meatier	1
tip	1
rang	10
robust	3
nervou	6
moral	59
ambigu	14
uncertainti	2
pabst	1
ribbon	1
beer	6
drink	8
redneck	3
clair	1
terrif	46
ought	3
highlight	8
rhapsod	3
page	10
creation	12
leigh	12
character	26
scooter	2
etho	3
hotel	8
aspir	18
coordin	1
dv	3
poetri	23
hear	26
iter	1
creepiest	2
development	1
disabl	2
supernatur	8
humbl	4
teach	8
mental	14
averag	27
b-movi	15
catch	31
quickli	27
welcom	31
cute	38
loss	22
wait	40
borrow	14
soprano	3
gag	52
incred	22
unfunni	26
demonstr	24
desper	37
maker	19
cash	5
similar	9
gymkata	1
howi	1
firestorm	1
fingernail	1
crawl	4
eyebal	4
fairli	34
pinocchio	13
critic	30
miramax	4
partway	2
saccharin	10
easter	1
egg	3
concoct	9
realiz	35
reject	9
implicitli	1
acknowledg	5
gloriou	7
chicaneri	1
busi	34
oddli	17
document	20
chase	27
distinct	19
asian	8
influenc	13
postur	4
spi	46
ballist	11
eck	8
sever	52
safe	16
deer	1
exampl	19
heal	9
clarifi	2
caesar	3
ladl	1
local	13
flavour	2
clash	13
pizza	1
obviou	52
pad	7
tunisian	2
lin	1
chung	1
unexcept	2
irrit	18
buy	21
impetu	2
central	21
stifl	5
dress	12
peekaboo	1
cloth	11
genial	7
inspir	77
altman	3
lesser	8
slasher	12
gorefest	2
connoisseur	4
psycholog	59
ticket	14
john	57
carpent	5
degrad	4
handheld	2
blair	12
witch	13
cam	1
halloween	10
unapp	2
disjoint	10
mess	55
flow	13
joli	7
hideou	2
yellow	4
jackass	6
consist	23
ali	3
pure	37
zinger	3
asid	19
indiffer	7
jordan	4
bradi	2
prosaic	2
ponder	21
remot	11
incis	7
qualifi	7
monsoon	6
whet	2
appetit	6
later	8
reggio	10
poetic	21
imageri	16
abil	28
startl	14
preval	3
forward	6
stringent	1
task	8
arnold	15
schwarzenegg	8
physiqu	2
match	27
substanti	9
arc	5
transform	17
potent	10
allegor	1
chill	31
centuri	29
franc	8
murder	39
rich	41
servant	2
tsai	11
convincingli	3
specif	15
urban	29
disassoci	1
uk	1
jack	13
carter	1
newcastl	1
gangster	19
drip	2
reel	10
essenti	25
collect	28
naughti	4
smarter	12
funnier	18
polic	10
academi	8
plummer	3
resort	8
camp	19
nichola	11
wound	9
uncl	3
dicken	9
grandeur	11
scott	8
abbott	2
michael	40
petroni	1
akasha	1
deadli	11
medit	27
loser	6
seed	4
holland	3
peter	21
midway	3
notabl	8
crass	11
burgeon	1
rosenth	1
manag	102
splittingli	1
blond	5
starr	19
piper	1
perabo	1
breakthrough	6
comeback	2
curler	1
broom	3
canadian	6
relentlessli	10
lowbrow	5
outing	8
south	14
fork	2
pear	7
sex	50
sushi	1
macabr	5
account	14
eisenstein	4
elsewher	5
innocu	5
van	12
damm	2
australian	4
polson	2
award	15
cinematograph	4
gile	1
nuttgen	1
disguis	24
innov	10
ruse	1
core	22
flimsi	7
nonexist	3
practic	16
smell	5
patchouli	1
oil	2
austin	13
eyr	7
dramatist	1
bourn	11
scale	13
super	19
stealth	1
agent	7
vastli	3
improv	17
measur	18
ne	2
certainli	55
gaghan	4
resum	3
guarante	10
capabl	17
star	113
induc	16
spielb	27
trademark	9
fit	36
tuxedo	11
strictli	13
rack	2
doa	2
conceiv	15
schaeffer	9
christoph	6
trait	2
outlin	4
charg	14
jell	4
theater	69
beast	10
villeneuv	5
intuit	1
option	4
sacrific	15
integr	14
serri	4
contain	14
conflict	32
larger	11
histor	34
context	11
spald	1
gray	3
equival	19
gross	25
moor	21
charmer	9
ghostbust	1
glorious	6
boister	5
heartfelt	19
bigelow	5
handl	19
nuclear	4
evenli	1
milk	8
urg	8
sensation	3
downbeat	8
altern	23
melanchol	2
hope	71
isol	7
frustrat	29
recreat	9
physic	14
papin	2
sister	10
unfortun	35
especi	60
compar	14
endur	16
orient	12
fair	16
uneasili	3
bind	3
sensit	33
dan	1
schneider	11
shaw	2
levi	3
substitut	11
primari	5
handiwork	1
indi	20
tatter	5
consciou	15
seam	3
subtleti	12
scope	8
pageantri	1
mesmer	20
day	107
lewi	7
roar	2
leonin	2
davi	19
unthink	2
exclam	2
rise	31
compel	99
comprehens	8
unsurpass	1
grumpi	1
solidli	7
demograph	11
goldmemb	6
catastroph	2
gall	2
nevertheless	10
clamor	3
bizarr	23
tragic	27
york	24
philip	8
dick	3
grave	7
stoner	1
deconstruct	4
fantasia	2
sanguin	2
exploit	38
headbang	1
unsettl	28
snooz	2
mythic	4
short	69
planet	12
behold	8
open	59
ouzo	1
whirlwind	1
non-stop	3
feast	7
warmth	20
jungl	1
surviv	17
ambit	17
sabotag	5
pompos	2
soderbergh	21
numbingli	9
heartbreak	16
hospit	6
convey	20
haughti	1
sketchi	7
territori	15
previous	2
aplomb	3
sara	10
sugarman	3
whimsic	11
annie-mari	1
sustain	41
thornberri	6
jolli	4
underst	10
nicholson	9
worthwhil	20
artifici	13
kerrigan	1
platinum	1
unindict	1
tear	33
halfway	10
mutat	1
scari	31
surfac	22
reconfigur	1
question	55
exhilar	21
futurist	4
report	26
rivet	23
puls	7
intensifi	1
escapist	6
order	15
pleasant	24
divert	19
modest	15
step	22
amus	81
romp	15
malcolm	4
pubesc	2
franki	2
muniz	1
earthshak	1
fluctuat	1
spare	13
flotsam	2
sea	24
harm	5
smelli	1
bother	16
despis	1
shave	1
snow	15
cone	1
flavorless	2
dogm	2
bedfellow	1
compat	1
parodi	15
mellow	1
peac	6
countercultur	2
cumul	4
trifl	18
vacat	1
stoneheng	1
white	36
oleand	4
adapt	44
novel	41
splash	10
reduct	4
sleek	5
arti	5
seemingli	12
unshap	1
fisher	13
inexplic	11
dip	5
key	25
wake	11
dreari	17
weather	3
vain	4
dictat	3
madman	1
inappropri	3
wildli	19
undeserv	2
tire	34
arriv	19
cloak	4
euphem	1
main	16
scuttl	1
rental	9
dismiss	10
barbershop	14
ballesta	1
galan	1
achero	1
mana	2
schemat	1
downright	13
repel	6
nice	48
openli	2
social	41
pull	42
air	35
hal	3
hartley	8
vital	17
ingredi	12
deni	24
qualiti	41
jagger	8
third	22
grow	60
sceneri	10
muddl	15
multipl	4
occasion	52
absurd	23
ah	8
travail	4
metropolitan	2
ala	8
breathless	2
weirdli	9
broomfield	14
unveil	1
endless	10
wheedl	1
reluct	5
smear	2
windshield	1
mtv	7
undress	1
substanc	25
temper	5
antithesi	1
rescu	6
funk	2
daniel	6
radcliff	1
assert	2
harri	22
author	16
rowl	4
count	21
commentari	12
ignit	5
solac	3
lesson	20
inc	2
sensat	10
perhap	34
foot	15
ador	10
pass	31
twinkl	3
nailbit	1
mistak	18
grappl	1
hazi	2
motiv	18
hanek	10
elfried	2
jelinek	3
unmotiv	1
unpersuas	2
inconclus	2
